航司,产品名称,航线,订座舱位,上浮价格,政策返点,产品代码,出票OFFICE,备注,产品有限期
东航,MU，GP 客票晋舱前返,适用航线：东上航实际承运涉及KMG=CAN=PVG=SZX=TCZ=TSN=URC=WUH=XMN=PKX=SHA=XIY=TAO=BSD=ZAT=DIG=TYN=JHG=WUX=LNJ，以及全国航线，具体参照表格销售,适用舱位：经济舱（Y/B/M/E/K/L/N/R/S）GP客票；运价标识：定 Y 舱后使用 PAT:A#CGP 可展示 FB 为 YGP10M 的运价，代表在 M 舱公布运价+10%Y 舱价格,高舱-低舱,差价的40%-60%前返,,KMG319/KMG279/CTU152,,
东航,MU、变更优享,"1.适用范围：东上航实际承运的国内直达航线（代号共享航班除
外）","M/E/K/L/N/R/S/V（对产品价格超过经济舱 Y 舱公
布运价的情况进行拦截）",160,60,BGYX,KMG319,"1.旅客类型‘’东方万里行‘’会员（限成人）

2.后返（BSP都适用）
注意：销售时注意是否有会员号，只能销售有‘’会员号‘’旅客，非会员暂不能销售，如有变动已通知为准。",
东航,MU、云南GP空铁优享,昆明进出港航线(C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z),1.区域一：增值服务包括玉溪、曲靖至或返昆明高铁二等座客票一张、昆明站或昆明南站至或返昆明长水机场地面运输一次（专车）,260,210,,KMG319,产品对应舱位客票的航班/日期变更，自愿变更时间在航班规定离站时间前4小时（含）之外，免收变更手续费,有效
东航,MU、云南GP空铁优享,昆明进出港航线(C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z),2.区域二：包括建水、楚雄、蒙自、文山至或返昆明高铁二等座客票一张、昆明站或昆明南站至或返昆明长水机场地面运输一次,310,260,,KMG319,1.注意台账做共享链接（用车信息+对应高铁信息）,航班日期：即日起-2025年12月31日
东航,MU、云南GP空铁优享,昆明进出港航线(C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z),3.区域三：包括普洱、大理、保山、版纳、丽江至或返昆明高铁二等座客票一张、昆明站或昆明南站至或返昆明长水机场地面运输一次（专车）,410,360,,KMG319,,
东航,MU、云南GP空铁优享,昆明进出港航线(C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z),区域四：包括临沧、迪庆至或返昆明高铁二等座客票一张、昆明站或昆明南站至或返昆明长水机场地面运输一次（专车）,460,410,,KMG319,,
东航,MU、昆明易优享,①易登机,KMG-PKX-PVG-SHA-TFU-HFE-CAN-SZX-CTU-XIY-TCZ-JHG-SYM-LUM-LNJ-BSD (N舱以上）,460,410,,KMG319/KMG279/CTU152/SZX146,,
东航,MU、用车优享,单程,"P/B/M/E/K/L/N/R/S/V/T/Z(对产品价格超
过超级经济舱/经济舱无折扣公布运价的情况进行拦截)。",150,65,YCYXPOW,KMG319,航班起飞当日，如所购客票列明起飞时间前航班有剩余座位，旅客可更改至前序起飞航班，免收变更手续费，如有票价差，少补多补退。,有效
东航,MU、WiFi优享,所有航线  GP/BSP/B2T渠道“Wi-Fi优享+,"P/B/M/E/K/L/N/R/S/V/T/Z(对产品价格超过
超级经济舱/经济舱无折扣公布运价的情况进行拦截) TC 项（WFYX40）、FB 项（W1）",40,15,WFYX40,KMG319,航班起飞当日，如所购客票列明起飞时间前航班有剩余座位，旅客可更改至前序起飞航班，免收变更手续费，如有票价差，少补多补退。,
东航,MU、Wi-Fi优享+里程优享,所有行程,P/B/M/E/K/L/N/R/S/V/T/Z( 产品代码：WFLCYX300,110,40,WFLCYX300,KMG319,"1.产品名称：Wi-Fi优享+。【TC:WFYX40 / FB末两位后缀：GPW1】
2.产品价格：产品价格=外放经济舱舱位GP运价价格+40元，乘机人可享受1次适用范围内航班标准全航程空中上网
3.特殊退改规则：使用GPWIFI优享产品可享受航前4小时免费改期政策
4.自愿退票：退票须在原购买渠道操作，按照票面规定扣除退票费后退款。",
东航,MU、Wi-Fi优享+里程优享,所有行程,P/B/M/E/K/L/N/R/S/V/T/Z( 产品代码：WFLCYX600,190,75,WFLCYX600,KMG319,"1.特殊退改规则：使用GP WIFI+里程优享产品可享受航前4小时免费改期政策
2.自愿退票：退票须在原购买渠道操作，按照票面规定扣除退票费后退款。",
东航,MU、Wi-Fi优享+里程优享,所有行程,P/B/M/E/K/L/N/R/S/V/T/Z( 产品代码：WFLCYX1200,300,125,WFLCYX1200,KMG319,,
GP,GP 渠道 Wi-Fi 优享+里程优享,东上航实际承运的含有机上互联服务网功能的国内直达航班（不适用于中转或经停）,"适用舱位：B/M/E/K/L/N/R/S/V/T/Z，经济舱溢价后客票
总价格如超过经济舱公布运价，则溢价产品不适用。",110,55,WFLCYX300,,,
GP,GP 渠道 Wi-Fi 优享+里程优享,东上航实际承运的含有机上互联服务网功能的国内直达航班（不适用于中转或经停）,"适用舱位：B/M/E/K/L/N/R/S/V/T/Z，经济舱溢价后客票
总价格如超过经济舱公布运价，则溢价产品不适用。",190,95,WFLCYX600,,,
GP,GP 渠道 Wi-Fi 优享+里程优享,东上航实际承运的含有机上互联服务网功能的国内直达航班（不适用于中转或经停）,"适用舱位：B/M/E/K/L/N/R/S/V/T/Z，经济舱溢价后客票
总价格如超过经济舱公布运价，则溢价产品不适用。",300,150,WFLCYX1200,,,
东航,MU、东航免费接送机调整,所有行程,"适用航线:昆明始发或到达东、上航实际承运国内单程、往返程、铁口程航班;
3、东航云南有限公司客户编号为47开头的两方和三方集（7月-9月调整K舱起免费接送）",300,125,,KMG319,,
东航,MU、安心优享,所有航线,"适用舱位：C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z 舱(以 TC“AXYX02”，Farebasis 项后缀“BX”为识别
代号。)",99,40,AXYX02,KMG319/KMG279/CTU152/SZX146,"4、昆明进出港 GP 客票
6、适用用舱位:接送机适用舱位:U、F、J、C、D、Q、I、T、P、Y、B、M、E、K、L、N舱。(7月-9月调整K舱起免费接送机）                                           2025 年4-6月国内增值服务产品通告  (集团客户尊享二’)接、送机增值服务修)",
东航,MU国博优享,所有航线,"U/C/D/Q/I/W/P/B/M/E/K/L/N/R/S/V/T/Z
TC 项（GBYX）、FB 项（G5）",70-120,20,,KMG319,"旅客在明折明扣各舱位价格基础上，额外支付
固定价格，享受综合保险服务",有效
东航,MU国博优享,所有航线,"U/C/D/Q/I/W/P/B/M/E/K/L/N/R/S/V/T/Z
TC 项（GBYX）、FB 项（G5）",70-120,20,,KMG319,"在机票外放票价上加价 70 元-120 元，组成“国博
优享+”产品。旅客购买“国博优享+”机票后，客票承运次日，系
统向购票人东航会员账户发放 1 张价值 120 元兑换券，并短信通知
旅客通过链接至东航国博专区预约使用。",有效
东航,MU国博优享,所有航线,"U/C/D/Q/I/W/P/B/M/E/K/L/N/R/S/V/T/Z
TC 项（GBYX）、FB 项（G5）",70-120,20,,KMG319,"在机票外放票价上加价 70 元-120 元，组成“国博
优享+”产品。旅客购买“国博优享+”机票后，客票承运次日，系
统向购票人东航会员账户发放 1 张价值 120 元兑换券，并短信通知
旅客通过链接至东航国博专区预约使用。",有效
东航,MU国博优享,所有航线,"U/C/D/Q/I/W/P/B/M/E/K/L/N/R/S/V/T/Z
TC 项（GBYX）、FB 项（G5）",70-120,20,,KMG319,"在机票外放票价上加价 70 元-120 元，组成“国博
优享+”产品。旅客购买“国博优享+”机票后，客票承运次日，系
统向购票人东航会员账户发放 1 张价值 120 元兑换券，并短信通知
旅客通过链接至东航国博专区预约使用。",有效
低碳,低碳优享,东航/上航实际承运国内单程/往返直达航班。,"B/M/E/K/L/N/R/S/V/T/Z(对产品价格超过经济舱无折扣公布运价的情况进行拦截)普通客票以 Farebasis 项后缀两位即 X2/X3 为识别代号,GP 客票以后缀四位即 GPX2/GPX3 为识别代号",150,75,,KMG319,购买 GPX2/GPX3 后缀的客票，可享受航前 4 小时免费改期,有效
低碳,低碳优享,东航/上航实际承运国内单程/往返直达航班。,"B/M/E/K/L/N/R/S/V/T/Z(对产品价格超过经济舱无折扣公布运价的情况进行拦截)普通客票以 Farebasis 项后缀两位即 X2/X3 为识别代号,GP 客票以后缀四位即 GPX2/GPX3 为识别代号",300,150,,KMG319,,
智选,智选经济舱,所有航线,Q舱 上浮390元现返120元,390,120,,KMG319/KMG279/CTU152/SZX146,,有效
优选,优选经济舱,所有航线,E舱 E舱上浮220元现返70元，上浮250元现返80元,220/250,70/80,,KMG319/KMG279/CTU152/SZX146,,有效
优享,优享贵宾室,适用于HU/CN国内自营航班,H/K/L/M/X/V/N/A/U/T，CVG1(北京）,220元,40元,CVG1,KMG319/KMG279/CTU152/SZX146,,2026年9月15日(含）
优享,优享贵宾室,适用于HU/CN国内自营航班,H/K/L/M/X/V/N/A/U/T，COF1（海口）,220元,40元,COF1,KMG319/KMG279/CTU152/SZX146,,2026年9月15日(含）
优享,优享贵宾室,适用于HU/CN国内自营航班,H/K/L/M/X/V/N/A/U/T，CNS1（杭州）,168元,30元,CNS1,KMG319/KMG279/CTU152/SZX146,,2026年9月15日(含）
优享,优享贵宾室,适用于HU/CN国内自营航班,H/K/L/M/X/V/N/A/U/T，CUF1（太原）,128元,20元,CUF1,KMG319/KMG279/CTU152/SZX146,,2026年9月15日(含）
优享,优享贵宾室,适用于HU/CN国内自营航班,H/K/L/M/X/V/N/A/U/T，CMV1（乌鲁木齐）,158元,30元,CMV1,KMG319/KMG279/CTU152/SZX146,,2026年9月15日(含）
优享,优享贵宾室,适用于HU/CN国内自营航班,H/K/L/M/X/V/N/A/U/T，CZC1（上海浦东）,220元,40元,CZC1,KMG319/KMG279/CTU152/SZX146,,2026年9月15日(含）
优享,优享变更,适用于HU/CN国内自营航班,H/K/L/M/X/V/N/A/U/T            产品代码：CSU1,150,40元,CSU1,KMG319/KMG279/CTU152/SZX146,,2026年12月31日(含）
优享,优享专车”产品,所有航线,H/K/L/M/X/V/N/A/U/U1/U2/T/T1/T2          产品代码：CTL1,100元,30元,CTL1,KMG319/KMG279/CTU152/SZX146,,2026年12月31日（含）
优享,优享专车”产品,所有航线,H/K/L/M/X/V/N/A/U/T                      产品代码：DCQE1,200元,60元,DCQE1,KMG319/KMG279/CTU152/SZX146,,2026年12月31日（含）
优享,优享代泊,所有航线,H/K/L/M/X/V/N/A/U/T               产品代码：CPF1,180元,30元,CPF1,KMG319/KMG279/CTU152/SZX146,,2026年12月31日(含）
”优,”优享积分”产品,所有航线,H/K/L/M/X/V/N/A/U/T，CYE1,120元,30元,CYE1,KMG319/KMG279/CTU152/SZX146,,2026年12月31日(含）
”优,”优享积分”产品,所有航线,H/K/L/M/X/V/N/A/U/T，CLE1,240元,50元,CLE1,KMG319/KMG279/CTU152/SZX146,,2026年12月31日(含）
”优,”优享积分”产品,所有航线,H/K/L/M/X/V/N/A/U/T，CLG1,360元,70元,CLG1,KMG319/KMG279/CTU152/SZX146,,2026年12月31日(含）
公务,公务舱（尊享专车）产品,所有航线,D/Z/I/R舱  CQC1,370,100,CQC1,KMG319/KMG279/CTU152/SZX146,,D/Z/R舱适用日期：截止2026年12月31日（含）                           I舱适用日期：截止2026年3月28日（含）
公务,公务舱（尊享积分）产品,所有航线,D/Z/I/R舱  CVW,430,80,CVW,KMG319/KMG279/CTU152/SZX146,,D/Z/R舱适用日期：截止2026年12月31日（含）                            I舱适用日期：截止2026年3月28日（含）
公务,公务舱（尊享积分）产品,所有航线,D/Z/I/R舱  CNZ1,860,200,CNZ1,KMG319/KMG279/CTU152/SZX146,,D/Z/R舱适用日期：截止2026年12月31日（含）                            I舱适用日期：截止2026年3月28日（含）
高舱,高舱高奖,"该产品在不同航线上的“净结+后返”溢价分成总比例最低为20%，最高则不超过36%，如未完成后返考核任务，仅可获得净结分成奖励,当外放最低散客舱位为K舱及以下舱时，选择向上预订Y/H/K/L/M/X舱",溢价区间,7月溢价分成比例,8月溢价分成比例,,KMG319/KMG279/CTU152/SZX146,,D/Z/R舱适用日期：截止2026年12月31日（含）                            I舱适用日期：截止2026年3月28日（含）
高舱,高舱高奖,"该产品在不同航线上的“净结+后返”溢价分成总比例最低为20%，最高则不超过37%，如未完成后返考核任务，仅可获得净结分成奖励,当外放最低散客舱位为K舱及以下舱时，选择向上预订Y/H/K/L/M/X舱",溢价区间,前返（净结）,前返（净结）,,KMG319/KMG279/CTU152/SZX146,,D/Z/R舱适用日期：截止2026年12月31日（含）                            I舱适用日期：截止2026年3月28日（含）
高舱,高舱高奖,"该产品在不同航线上的“净结+后返”溢价分成总比例最低为20%，最高则不超过38%，如未完成后返考核任务，仅可获得净结分成奖励,当外放最低散客舱位为K舱及以下舱时，选择向上预订Y/H/K/L/M/X舱",60元(含)-299元(含,0.14,0.15,,KMG319/KMG279/CTU152/SZX146,,D/Z/R舱适用日期：截止2026年12月31日（含）                            I舱适用日期：截止2026年3月28日（含）
高舱,高舱高奖,"该产品在不同航线上的“净结+后返”溢价分成总比例最低为20%，最高则不超过39%，如未完成后返考核任务，仅可获得净结分成奖励,当外放最低散客舱位为K舱及以下舱时，选择向上预订Y/H/K/L/M/X舱",300元(含)-599元(含),0.16,0.17,,KMG319/KMG279/CTU152/SZX146,,D/Z/R舱适用日期：截止2026年12月31日（含）                            I舱适用日期：截止2026年3月28日（含）
高舱,高舱高奖,"该产品在不同航线上的“净结+后返”溢价分成总比例最低为20%，最高则不超过40%，如未完成后返考核任务，仅可获得净结分成奖励,当外放最低散客舱位为K舱及以下舱时，选择向上预订Y/H/K/L/M/X舱",600元(含)-999元(含),0.18,0.19,,KMG319/KMG279/CTU152/SZX146,,D/Z/R舱适用日期：截止2026年12月31日（含）                            I舱适用日期：截止2026年3月28日（含）
高舱,高舱高奖,"该产品在不同航线上的“净结+后返”溢价分成总比例最低为20%，最高则不超过41%，如未完成后返考核任务，仅可获得净结分成奖励,当外放最低散客舱位为K舱及以下舱时，选择向上预订Y/H/K/L/M/X舱",1000元(含)-1399元(含),0.2,0.21,,KMG319/KMG279/CTU152/SZX146,,D/Z/R舱适用日期：截止2026年12月31日（含）                            I舱适用日期：截止2026年3月28日（含）
高舱,高舱高奖,"该产品在不同航线上的“净结+后返”溢价分成总比例最低为20%，最高则不超过42%，如未完成后返考核任务，仅可获得净结分成奖励,当外放最低散客舱位为K舱及以下舱时，选择向上预订Y/H/K/L/M/X舱",1400元(含)以上,0.22,0.23,,KMG319/KMG279/CTU152/SZX146,,D/Z/R舱适用日期：截止2026年12月31日（含）                            I舱适用日期：截止2026年3月28日（含）
基础,基础折扣经济舱,所有航线,K/L/M/X/V/N/A/U/T,500元,150元,,KMG319/KMG279/CTU152/SZX146,,有效（2026年1月9日-2027年12月31日）
基础,基础折扣经济舱,所有航线,K,480元,150元,,KMG319/KMG279/CTU152/SZX146,,有效（2026年1月9日-2027年12月31日）
基础,基础折扣经济舱,所有航线,L/M/X/V/N/A/U/T,500元,150元,,KMG319/KMG279/CTU152/SZX146,,有效（2026年1月9日-2027年12月31日）
基础,基础折扣经济舱,所有航线,K,440元,130元,,KMG319/KMG279/CTU152/SZX146,,有效（2026年1月9日-2027年12月31日）
基础,基础折扣经济舱,所有航线,L/M/X/V/N/A/U/T,460元,140元,,KMG319/KMG279/CTU152/SZX146,,有效（2026年1月9日-2027年12月31日）
基础,基础折扣经济舱,所有航线,K,380元,120元,,KMG319/KMG279/CTU152/SZX146,,有效（2026年1月9日-2027年12月31日）
基础,基础折扣经济舱,所有航线,L/M/X/V/N/A/U/T,420元,130元,,KMG319/KMG279/CTU152/SZX146,,有效（2026年1月9日-2027年12月31日）
基础,基础折扣经济舱,所有航线,K,350元,110元,,KMG319/KMG279/CTU152/SZX146,,有效（2026年1月9日-2027年12月31日）
基础,基础折扣经济舱,所有航线,L/M/X/V/N/A/U/T,390元,120元,,KMG319/KMG279/CTU152/SZX146,,有效（2026年1月9日-2027年12月31日）
基础,基础折扣经济舱,所有航线,K ，CJJ,300元,100元,,KMG319/KMG279/CTU152/SZX146,,有效（2026年1月9日-2027年12月31日）
基础,基础折扣经济舱,所有航线,L/M/X/V/N/A/U/T,360元,110元,,KMG319/KMG279/CTU152/SZX146,,有效（2026年1月9日-2027年12月31日）
基础,基础折扣经济舱,所有航线,K,290元,90元,,KMG319/KMG279/CTU152/SZX146,,有效（2026年1月9日-2027年12月31日）
基础,基础折扣经济舱,所有航线,L/M/X/V/N/A/U/T,330元,110元,,KMG319/KMG279/CTU152/SZX146,,有效（2026年1月9日-2027年12月31日）
基础,基础折扣经济舱,所有航线,K,260元,80元,,KMG319/KMG279/CTU152/SZX146,,有效（2026年1月9日-2027年12月31日）
基础,基础折扣经济舱,所有航线,L/M/X/V/N/A/U/T,320元,100元,,KMG319/KMG279/CTU152/SZX146,,有效（2026年1月9日-2027年12月31日）
基础,基础折扣经济舱,所有航线,L/M/X/V/N/A/U/T,320元,100元,,KMG319/KMG279/CTU152/SZX146,,有效（2026年1月9日-2027年12月31日）
基础,基础折扣经济舱,所有航线,L,280元,90元,,KMG319/KMG279/CTU152/SZX146,,有效（2026年1月9日-2027年12月31日）
基础,基础折扣经济舱,所有航线,M/X/V/N/A/U/T,300元,100元,,KMG319/KMG279/CTU152/SZX146,,有效（2026年1月9日-2027年12月31日）
基础,基础折扣经济舱,所有航线,L,240元,80元,,KMG319/KMG279/CTU152/SZX146,,有效（2026年1月9日-2027年12月31日）
基础,基础折扣经济舱,所有航线,M/X/V/N/A/U/T,300元,100元,,KMG319/KMG279/CTU152/SZX146,,有效（2026年1月9日-2027年12月31日）
基础,基础折扣经济舱,所有航线,X,290元,90元,,KMG319/KMG279/CTU152/SZX146,,有效（2026年1月9日-2027年12月31日）
基础,基础折扣经济舱,所有航线,V/N/A/U/T,300元,100元,,KMG319/KMG279/CTU152/SZX146,,有效（2026年1月9日-2027年12月31日）
基础,基础折扣经济舱,所有航线,V/N/A/U/T,250元,80元,,KMG319/KMG279/CTU152/SZX146,,有效（2026年1月9日-2027年12月31日）
特惠,特惠折扣经济舱,所有航线,H/K/L/M/X/V/N/A/U/T,250元,80元,,KMG319/KMG279/CTU152/SZX146,,有效
特惠,特惠折扣经济舱,所有航线,H,220元,70元,,KMG319/KMG279/CTU152/SZX146,,有效
特惠,特惠折扣经济舱,所有航线,K/L/M/X/V/N/A/U/T,250元,80元,,KMG319/KMG279/CTU152/SZX146,,有效
特惠,特惠折扣经济舱,所有航线,H,200元,70元,,KMG319/KMG279/CTU152/SZX146,,有效
特惠,特惠折扣经济舱,所有航线,K/L/M/X/V/N/A/U/T,250元,80元,,KMG319/KMG279/CTU152/SZX146,,有效
特惠,特惠折扣经济舱,所有航线,H,180元,60元,,KMG319/KMG279/CTU152/SZX146,,有效
特惠,特惠折扣经济舱,所有航线,K/L/M/X/V/N/A/U/T,250元,80元,,KMG319/KMG279/CTU152/SZX146,,有效
特惠,特惠折扣经济舱,所有航线,K/L/M/X/V/N/A/U/T,220元,70元,,KMG319/KMG279/CTU152/SZX146,,有效
特惠,特惠折扣经济舱,所有航线,K/L/M/X/V/N/A/U/T,200元,70元,,KMG319/KMG279/CTU152/SZX146,,有效
特惠,特惠折扣经济舱,所有航线,K,180元,60元,,KMG319/KMG279/CTU152/SZX146,,有效
特惠,特惠折扣经济舱,所有航线,L/M/X/V/N/A/U/T,200元,70元,,KMG319/KMG279/CTU152/SZX146,,有效
特惠,特惠折扣经济舱,所有航线,L/M/X/V/N/A/U/T,200元,70元,,KMG319/KMG279/CTU152/SZX146,,有效
特惠,特惠折扣经济舱,所有航线,L,180元,60元,,KMG319/KMG279/CTU152/SZX146,,有效
特惠,特惠折扣经济舱,所有航线,M/X/V/N/A/U/T,200元,70元,,KMG319/KMG279/CTU152/SZX146,,有效
特惠,特惠折扣经济舱,所有航线,M,180元,60元,,KMG319/KMG279/CTU152/SZX146,,有效
特惠,特惠折扣经济舱,所有航线,X/V/N/A/U/T,200元,70元,,KMG319/KMG279/CTU152/SZX146,,有效
臻选,臻选超经舱,所有航线,W  COT1,260元,80元,COT1,KMG319/KMG279/CTU152/SZX146,,2026年4月30日（含）
臻选,臻选超经舱,所有航线,W  CTH1,420元,150元,CTH1,KMG319/KMG279/CTU152/SZX146,,2026年4月30日（含）
“优,“优享+”经济舱,所有航线,H/K/L/M/X/V/N/A/U/T，CMX1,100元,40元,CMX1,KMG319/KMG279/CTU152/SZX146,,2026年12月31日（含）
“优,“优享+”经济舱,所有航线,H/K/L/M/X/V/N/A/U/T，CMU1,50元,20元,CMU1,KMG319/KMG279/CTU152/SZX146,,2026年12月31日（含）
“优,“优享+”经济舱,所有航线,H/K/L/M/X/V/N/A/U/T，CMQ1,250元,100元,CMQ1,KMG319/KMG279/CTU152/SZX146,,2026年12月31日（含）
“悦,“悦享免改”经济舱,所有航线,H/K/L/M/X/V/N/A/U/T，BAE1,300元,80元,BAE1,KMG319/KMG279/CTU152/SZX146,,2026年9月30日(含）
“悦,“悦享免改”经济舱,所有航线,H/K/L/M/X/V/N/A/U/T，BAF1,560元,160元,BAF1,KMG319/KMG279/CTU152/SZX146,,2026年9月30日(含）
“悦,“悦享免改”经济舱,所有航线,H/K/L/M/X/V/N/A/U/T，BAG1,680元,220元,BAG1,KMG319/KMG279/CTU152/SZX146,,2026年9月30日(含）
“悦,“悦享免改”经济舱,所有航线,H/K/L/M/X/V/N/A/U/T，BAH1,820元,280元,BAH1,KMG319/KMG279/CTU152/SZX146,,2026年9月30日(含）
“悦,“悦享免改”经济舱,所有航线,H/K/L/M/X/V/N/A/U/T，BAI1,1000元,350元,BAI1,KMG319/KMG279/CTU152/SZX146,,2026年9月30日(含）
“悦,“悦享免改”经济舱,所有航线,H/K/L/M/X/V/N/A/U/T，BAJ1,1200元,430元,BAJ1,KMG319/KMG279/CTU152/SZX146,,2026年9月30日(含）
“畅,“畅游+ ”门票,所有航线,H/K/L/M/X/V/N/A/U/T，BAB1,190元,60元,BAB1,KMG319/KMG279/CTU152/SZX146,,2026年12月31日（含）
“畅,“畅游+ ”门票,所有航线,H/K/L/M/X/V/N/A/U/T，BAC1,520元,110元,BAC1,KMG319/KMG279/CTU152/SZX146,,2026年12月31日（含）
“畅,“畅游+”伴手礼,所有航线,H/K/L/M/X/V/N/A/U/T，DAS1,140元,35元,DAS1,KMG319/KMG279/CTU152/SZX146,,2026年12月31日（含）
“畅,“畅游+”伴手礼,所有航线,H/K/L/M/X/V/N/A/U/T，CPD1,240元,60元,CPD1,KMG319/KMG279/CTU152/SZX146,,2026年12月31日（含）
“畅,“畅游+”伴手礼,所有航线,H/K/L/M/X/V/N/A/U/T，CPE1,300元,65元,CPE1,KMG319/KMG279/CTU152/SZX146,,2026年12月31日（含）
“畅,“畅游+”伴手礼,所有航线,H/K/L/M/X/V/N/A/U/T，CPI1,260元,60元,CPI1,KMG319/KMG279/CTU152/SZX146,,2026年12月31日（含）
“畅,“畅游+”伴手礼,所有航线,H/K/L/M/X/V/N/A/U/T，CNC1,530元,85元,CNC1,KMG319/KMG279/CTU152/SZX146,,2026年12月31日（含）
高舱,高舱高返（锦程添金）,所有航线,"适用最低开放舱：H/K/L/M/X/V/N/A/U/T
适用预定舱位(高舱)：Y/H/K/L/M/X/V/N，CPP1",15%>=X<20%,40%（后返形式）,CPP1,KMG319/KMG279/CTU152/SZX146,,2026年12月31日（含）
高舱,高舱高返（锦程添金）,所有航线,"适用最低开放舱：H/K/L/M/X/V/N/A/U/T
适用预定舱位(高舱)：Y/H/K/L/M/X/V/N，CPP1",X>=20%,50%（后返形式）,CPP1,KMG319/KMG279/CTU152/SZX146,,2026年12月31日（含）
高舱,高舱高返（锦程添金）,所有航线,"适用最低开放舱：H/K/L/M/X/V/N/A/U/T
适用预定舱位(高舱)：Y/H/K/L/M/X/V/N，CPP1",X>=20%,50%（后返形式）,CPP1,KMG319/KMG279/CTU152/SZX146,,2026年12月31日（含）
