产品名称,航线,订座舱位,上浮价格,政策返点,产品代码,出票OFFICE,备注,产品有限期,
GP 渠道 Wi-Fi 优享+里程优享,东上航实际承运的含有机上互联服务网功能的国内直达航班（不适用于中转或经停）,"适用舱位：B/M/E/K/L/N/R/S/V/T/Z，经济舱溢价后客票
总价格如超过经济舱公布运价，则溢价产品不适用。",110,55,WFLCYX300,,,,
GP 渠道 Wi-Fi 优享+里程优享,东上航实际承运的含有机上互联服务网功能的国内直达航班（不适用于中转或经停）,"适用舱位：B/M/E/K/L/N/R/S/V/T/Z，经济舱溢价后客票
总价格如超过经济舱公布运价，则溢价产品不适用。",190,95,WFLCYX600,,,,
GP 渠道 Wi-Fi 优享+里程优享,东上航实际承运的含有机上互联服务网功能的国内直达航班（不适用于中转或经停）,"适用舱位：B/M/E/K/L/N/R/S/V/T/Z，经济舱溢价后客票
总价格如超过经济舱公布运价，则溢价产品不适用。",300,150,WFLCYX1200,,,,
MU、东航免费接送机调整,所有行程,"适用航线:昆明始发或到达东、上航实际承运国内单程、往返程、铁口程航班;
3、东航云南有限公司客户编号为47开头的两方和三方集（7月-9月调整K舱起免费接送）",300,125,,KMG319,,,
MU、安心优享,所有航线,"适用舱位：C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z 舱(以 TC“AXYX02”，Farebasis 项后缀“BX”为识别
代号。)",99,40,AXYX02,KMG319/KMG279/CTU152/SZX146,"4、昆明进出港 GP 客票
6、适用用舱位:接送机适用舱位:U、F、J、C、D、Q、I、T、P、Y、B、M、E、K、L、N舱。(7月-9月调整K舱起免费接送机）                                           2025 年4-6月国内增值服务产品通告  (集团客户尊享二’)接、送机增值服务修)",,
MU国博优享,所有航线,"U/C/D/Q/I/W/P/B/M/E/K/L/N/R/S/V/T/Z
TC 项（GBYX）、FB 项（G5）",70-120,20,,KMG319,"旅客在明折明扣各舱位价格基础上，额外支付
固定价格，享受综合保险服务",有效,
MU国博优享,所有航线,"U/C/D/Q/I/W/P/B/M/E/K/L/N/R/S/V/T/Z
TC 项（GBYX）、FB 项（G5）",70-120,20,,KMG319,"在机票外放票价上加价 70 元-120 元，组成“国博
优享+”产品。旅客购买“国博优享+”机票后，客票承运次日，系
统向购票人东航会员账户发放 1 张价值 120 元兑换券，并短信通知
旅客通过链接至东航国博专区预约使用。",有效,
MU国博优享,所有航线,"U/C/D/Q/I/W/P/B/M/E/K/L/N/R/S/V/T/Z
TC 项（GBYX）、FB 项（G5）",70-120,20,,KMG319,"在机票外放票价上加价 70 元-120 元，组成“国博
优享+”产品。旅客购买“国博优享+”机票后，客票承运次日，系
统向购票人东航会员账户发放 1 张价值 120 元兑换券，并短信通知
旅客通过链接至东航国博专区预约使用。",有效,
MU国博优享,所有航线,"U/C/D/Q/I/W/P/B/M/E/K/L/N/R/S/V/T/Z
TC 项（GBYX）、FB 项（G5）",70-120,20,,KMG319,"在机票外放票价上加价 70 元-120 元，组成“国博
优享+”产品。旅客购买“国博优享+”机票后，客票承运次日，系
统向购票人东航会员账户发放 1 张价值 120 元兑换券，并短信通知
旅客通过链接至东航国博专区预约使用。",有效,
低碳优享,东航/上航实际承运国内单程/往返直达航班。,"B/M/E/K/L/N/R/S/V/T/Z(对产品价格超过经济舱无折扣公布运价的情况进行拦截)普通客票以 Farebasis 项后缀两位即 X2/X3 为识别代号,GP 客票以后缀四位即 GPX2/GPX3 为识别代号",150,75,,KMG319,购买 GPX2/GPX3 后缀的客票，可享受航前 4 小时免费改期,有效,
低碳优享,东航/上航实际承运国内单程/往返直达航班。,"B/M/E/K/L/N/R/S/V/T/Z(对产品价格超过经济舱无折扣公布运价的情况进行拦截)普通客票以 Farebasis 项后缀两位即 X2/X3 为识别代号,GP 客票以后缀四位即 GPX2/GPX3 为识别代号",300,150,,KMG319,,,
