产品名称,航线,订座舱位,上浮价格,政策返点,产品代码,出票OFFICE,备注,产品有限期,航司结算方式
MU、云南GP空铁优享,昆明进出港航线(C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z),2.区域二：包括建水、楚雄、蒙自、文山至或返昆明高铁二等座客票一张、昆明站或昆明南站至或返昆明长水机场地面运输一次,310,260,,KMG319,1.注意台账做共享链接（用车信息+对应高铁信息）,航班日期：即日起-2025年12月31日,
MU、云南GP空铁优享,昆明进出港航线(C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z),3.区域三：包括普洱、大理、保山、版纳、丽江至或返昆明高铁二等座客票一张、昆明站或昆明南站至或返昆明长水机场地面运输一次（专车）,410,360,,KMG319,,,
MU、云南GP空铁优享,昆明进出港航线(C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z),区域四：包括临沧、迪庆至或返昆明高铁二等座客票一张、昆明站或昆明南站至或返昆明长水机场地面运输一次（专车）,460,410,,KMG319,,,
MU、昆明易优享,①易登机,KMG-PKX-PVG-SHA-TFU-HFE-CAN-SZX-CTU-XIY-TCZ-JHG-SYM-LUM-LNJ-BSD (N舱以上）,460,410,,KMG319/KMG279/CTU152/SZX146,,,
用车优享+,单程、往返程,P/B/M/E/K/L/N/R/S/V/T/Z,150,38,YC,KMG319,"销售日期：即日起至 2026 年 12 月 31 日
承运日期:2026 年 4 月 1 日-2026 年 12 月 31 日
（具体以运价发布时间为准）",有效,后返
Wi-Fi 优享+,所有航线  BSP/B2T渠道“Wi-Fi优享+,P/B/M/E/K/L/N/R/S/V/T/Z,40,10,W1,KMG319,"销售渠道：BSP/B2T
使用渠道：机上空中互联门户
销售日期：即日起-2026 年 12 月 31 日
承运日期：2026 年 4 月 1 日-2026 年 12 月 31 日（具体
以运价发布时间为准）",,后返
MU、Wi-Fi优享+里程优享,所有行程,P/B/M/E/K/L/N/R/S/V/T/Z( 产品代码：WFLCYX300,110,28,W3,KMG319,"销售日期：即日起-2026 年 12 月 31 日
承运日期：2026 年 4 月 1 日-2026 年 12 月 31 日",,后返
MU、Wi-Fi优享+里程优享,所有行程,P/B/M/E/K/L/N/R/S/V/T/Z( 产品代码：WFLCYX600,190,48,W4,KMG319,,,后返
MU、Wi-Fi优享+里程优享,所有行程,P/B/M/E/K/L/N/R/S/V/T/Z( 产品代码：WFLCYX1200,300,75,W5,KMG319,,,后返
GP 渠道 Wi-Fi 优享+里程优享,"东上航实际承运的含有机上互联服务网功能的国内直达航班（不适用于中转或经停）
",B/M/E/K/L/N/R/S/V/T/Z,110,28,GPW3,KMG319,"适用渠道：BSP
销售日期：不限
承运日期：2026 年 4 月 1 日-2026 年 12 月 31 日
适用航程：单程、往返程
适用客票：GP 客票   特殊退改规则：使用 GP WIFI+里程优享产品可享受航前 4
小时免费改期政策",,后返
GP 渠道 Wi-Fi 优享+里程优享,"东上航实际承运的含有机上互联服务网功能的国内直达航班（不适用于中转或经停）
",B/M/E/K/L/N/R/S/V/T/Z,190,48,GPW4,KMG319,,,
GP 渠道 Wi-Fi 优享+里程优享,"东上航实际承运的含有机上互联服务网功能的国内直达航班（不适用于中转或经停）
",B/M/E/K/L/N/R/S/V/T/Z,300,75,GPW5,KMG319,,,
MU、东航免费接送机调整,所有行程,"适用航线:昆明始发或到达东、上航实际承运国内单程、往返程、铁口程航班;
3、东航云南有限公司客户编号为47开头的两方和三方集（7月-9月调整K舱起免费接送）",300,125,,KMG319,,,
安心优享+,所有航线,C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,99,25,BX,KMG319/KMG279/CTU152/SZX146,"销售渠道：BSP
销售日期：即日起至 2026 年 12 月 31 日。
承运日期：2026 年 4 月 1 日至 2026 年 12 月 31 日。
产品内容：在外放价格之上设置较高价格，旅客购买较高价格后可获赠航班综合保险（包含航空意外险、航班延误险）和东航商城优惠券。旅客购买“安心优享+”产品后，为乘机人投保，发放商城优惠券。投保信息的短信发到乘机人 CTCM手机号。商城优惠券可以用手机号绑定的会员账户或以手机号游客身份登录领取。商城优惠券有效期自发放之日开始算 90天有效。",,
MU国博优享,所有航线,"U/C/D/Q/I/W/P/B/M/E/K/L/N/R/S/V/T/Z
TC 项（GBYX）、FB 项（G5）",70-120,20,G5,KMG319,"销售日期：2025 年 9 月 3 日至 2026 年 6 月 30 日。
承运日期：2025 年 9 月 3 日至 2026 年 6 月 30 日。
行程类型：单程。",有效,
低碳优享,东航/上航实际承运国内单程/往返直达航班。,"B/M/E/K/L/N/R/S/V/T/Z(对产品价格超
过经济舱无折扣公布运价的情况进行拦截)",150,60,DX3,KMG319,"销售渠道：BSP
销售日期：即日起-2026 年 12 月 31 日。
承运日期：2026 年 4 月 1 日-2026 年 12 月 31 日。普通客票以 Farebasis 项后缀两位即 X2/X3 为识别代
号,GP 客票以后缀四位即 GPX2/GPX3 为识别代号",有效,
低碳优享,东航/上航实际承运国内单程/往返直达航班。,"B/M/E/K/L/N/R/S/V/T/Z(对产品价格超
过经济舱无折扣公布运价的情况进行拦截)",300,120,DX2,KMG319,,,
