产品名称,航线,订座舱位,上浮价格,政策返点（后返+车辆后返+代理费),产品代码,票证类型,出票OFFICE,备注,产品有限期,航司结算方式,,,,,,,,,,,,,,,
CZ里程加享、航班日期自4.1起,全国航线：800里程旅行套餐,P/B/M/H/K/U/A/L/Q/E/V/Z/T,120,30,*YXLACMD,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,800里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ里程加享、航班日期自4.1起,全国航线：1000里程旅行套餐,P/B/M/H/K/U/A/L/Q/E/V/Z/T,200,50,*YXKAAMD,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,1000里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ里程加享、航班日期自4.1起,全国航线：1500里程旅行套餐,P/B/M/H/K/U/A/L/Q/E/V/Z/T,300,75,*YXHAAMD,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,1500里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ里程加享、航班日期自4.1起,全国航线：2000里程旅行套餐,C/D/I/M/H/K/U/A/L/Q/E/V/Z/T,400,100,*YXMAAMD,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,2000里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ里程加享、航班日期自4.1起,明珠舱800里程旅行套餐,S,,30,"S1??A25 S2??A25 S3??A25 S1??A20 S2??A20 S3??A20 S1??A17 S2??A17 S3??A17 S1??A15 S2??A15 S3??A15
S1??A13 S2??A13 S3??A13",GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,800里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ里程加享、航班日期自4.1起,明珠舱2000里程旅行套餐,S,,100,"S1??A45 S1??A40
S1??A35 S1??A30 
S1??A26 S2??A45
S2??A40 S2??A35
S2??A30 S2??A26 
S3??A45 S3??A40
S3??A35 S3??A30 
S3??A26",GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,2000里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ里程加享、航班日期自4.1起,全国航线：3000里程旅行套餐,C/D/I/H/K/U/A/L/Q/E/V/Z/T,600,150,*YXMACMD,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,3000里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ里程加享、航班日期自4.1起,全国航线：4000里程旅行套餐,C/D/I/H/K/U/A/L/Q/E/V/Z/T,800,200,*YXMADMD,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,4000里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ里程加享、航班日期自4.1起,全国航线：5000里程旅行套餐,C/D/I/H/K/U/A/L/Q/E/V/Z/T,1000,250,*YXMAEMD,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,5000里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ权益包加享、航班日期自4.1起,全国航线：优先选择前排座位权益,P/B/M/H/K/U/A/L/Q/E/V/Z/T,60,15,*YXKAAOA,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,优先选择前排座位权益,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ权益包加享、航班日期自4.1起,全国航线：300里程，额外赠前排座位权益,P/B/M/H/K/U/A/L/Q/E/V/Z/T,130,32,*YXKABMS,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,300里程，额外赠前排座位权益,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ权益包加享、航班日期自4.1起,全国航线：1200里程，额外赠前排座位权益,P/B/M/H/K/U/A/L/Q/E/V/Z/T,300,75,*YXKAAMS,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,1200里程，额外赠前排座位权益,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ权益包加享、航班日期自4.1起,全国航线：3000里程，额外赠前排座位权益,P/B/M/H/K/U/A/L/Q/E/V/Z/T,660,165,*YXKACMS,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,3000里程，额外赠前排座位权益,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ权益包加享、航班日期自4.1起,"广州、沈阳、北京、大连、南宁、贵阳、海口、郑州、哈尔滨、武汉、长沙、长春、汕头、上海虹桥、上海浦东、深圳、乌鲁木齐、重庆、珠海、昆明、三亚、桂林、温州、合肥、宁波、厦门、福州、银川、西宁、呼和浩特、兰州、北京大兴、杭州、济南、南京、连云港、盐城、徐州、扬州、泰州、阿勒泰、阿克苏、喀什、和田、克拉玛依、库尔勒、伊宁始发国内航线及天津-和田航线。后续新增航线以实际查询结果为准。新增27个场站：常州、太原、青岛、济宁、临沂、菏泽、洛阳、包头、鄂尔多斯、通辽、惠州、临汾、忻州、长治、运城、大同、西安、汉中、延安、安康、榆林、陇南、荆州、襄阳、恩施、十堰、宜昌；义乌、成都天府、塔城、石河子。

",P/B/M/H/K/U/A/L/Q/E/V/Z/T,300,75,*YXKAABD,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,行李旅行套餐。10KG额外行李额度,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ权益包加享、航班日期自4.1起,"广州、沈阳、北京、大连、南宁、贵阳、海口、郑州、哈尔滨、武汉、长沙、长春、汕头、上海虹桥、上海浦东、深圳、乌鲁木齐、重庆、珠海、昆明、三亚、桂林、温州、合肥、宁波、厦门、福州、银川、西宁、呼和浩特、兰州、北京大兴、杭州、济南、南京、连云港、盐城、徐州、扬州、泰州、阿勒泰、阿克苏、喀什、和田、克拉玛依、库尔勒、伊宁始发国内航线及天津-和田航线。后续新增航线以实际查询结果为准。新增27个场站：常州、太原、青岛、济宁、临沂、菏泽、洛阳、包头、鄂尔多斯、通辽、惠州、临汾、忻州、长治、运城、大同、西安、汉中、延安、安康、榆林、陇南、荆州、襄阳、恩施、十堰、宜昌；义乌、成都天府、塔城、石河子。

",P/B/M/H/K/U/A/L/Q/E/V/Z/T,380,95,*YXKAAMA,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,里程行李旅行套餐。500里程+10KG额外行李额,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ权益包加享、航班日期自4.1起,"北京大兴、广州、杭州、深圳、上海浦东、上海虹桥、乌鲁木齐
",P/B/M/H/K/U/A/L/Q/E/V/Z/T,260,65,*YXKAALA,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,休息室旅行套餐.赠航班当日始发机场指定南航国内休息室服务一次（限广州、北京、杭州、深圳、上海浦东、上海虹桥、乌鲁木齐）,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ权益包加享、航班日期自4.1起,武汉、哈尔滨、长春、长沙、重庆、汕头（揭阳）、大连、珠海、沈阳、贵阳、南宁、郑州、昆明、南阳、三亚、南京、西安18个机场。,P/B/M/H/K/U/A/L/Q/E/V/Z/T,160,40,*YXKABLA,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,休息室旅行套餐。赠航班当日始发机场指定南航国内休息室服务一次（除广州、北京、杭州、深圳、上海浦东、上海虹桥、乌鲁木齐外）,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ权益包加享、航班日期自4.1起,以实际发布为准,P/B/M/H/K/U,320,80,*YXHAAUC,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,300里程+明珠舱升舱。额外获赠300里程和明珠经济舱升舱权益,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ退改加享、航班日期自4.1起,全国航线：变更旅行套餐,P/B/M/H/K/U/A/L/Q/E/V/Z/T,150,37,*YXKAAGD,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,在航班预计离站时间前4小时（含）前自愿变更，免收自愿变更费,2026.01.01-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ退改加享、航班日期自4.1起,全国航线：退改无忧,P/B/M/H/K/U/A/L/Q/E/V/Z/T,160,40,*YXKAARG,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,"1.客票有效期内，24小时（含）前免费退票手续费1次，加价金额不退；24小时后按正常退改规则计算手续费。
2.客票有效期内，4小时前免变更手续费；4小时后按正常退改规则计算手续费。
3.300万元航空意外身故及伤残保障，保险期间为客票当次航班。",2026.01.01-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ退改加享、航班日期自4.1起,全国航线：金牌退改,C/D/I/P/B/M/H/K/U/A/L/Q/E/V/Z/T,600,150,*YXKADRG,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,"1.航班起飞前4小时以外变更，免收变更手续费，正常收取票价差；4小时以内变更，按客票使用规则收取变更手续费。
2.航班起飞前24小时以外退票，免收退票手续费；24小时以内退票，按客票使用规则收取退票手续费。
3.客票成行后赠3000里程。",2026.01.01-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ保险加享、航班日期自4.1起,全国航线：航意航延综合保障,P/B/M/H/K/U/A/L/Q/E/V/Z/T,70,17,*YXKAAID,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,航意700万，医疗15万；航延2小时起赔，最高赔600,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ保险加享、航班日期自4.1起,全国航线：3天境内旅行保障,P/B/M/H/K/U/A/L/Q/E/V/Z/T,30,7,*YXKAAIF,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,保3天的旅行意外伤害、高风险运动、医疗救援、银行卡盗抢等,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ保险加享、航班日期自4.1起,全国航线：航意保障,P/B/M/H/K/U/A/L/Q/E/V/Z/T,30,7,*YXKAAIB,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,航意650万、医疗15万。,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ团队加享、航班日期自4.1起,全国航线：团队权益包加享,G,,75,G*******TA,B2B,,10KG额外行李额度,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ团队加享、航班日期自4.1起,全国航线：团队里程加享,G,,0.25,G******TT*,B2B,,1元里程(5里程),2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ团队加享、航班日期自4.1起,全国航线：团队里程加享,G,,17.5,G*******TC,B2B,,300里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ团队加享、航班日期自4.1起,全国航线：团队里程加享,G,,25,G*******TD,B2B,,500里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ团队加享、航班日期自4.1起,全国航线：团队里程加享,G,,50,G*******TE,B2B,,1000里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ团队加享、航班日期自4.1起,全国航线：团队里程加享,G,,75,G*******TF,B2B,,1500里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ团队加享、航班日期自4.1起,全国航线：团队里程加享,G,,100,G*******TG,B2B,,2000里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ团队加享、航班日期自4.1起,全国航线：国内航意航延综合保障,G,,2026/10/17,G*******BB,B2B,,航意400-700万、医疗5-15万、航延2小时起赔最高赔600、返航或备降赔300。,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ团队加享、航班日期自4.1起,全国航线：7天交通意外保障,G,,2026/7/15,G*******BC,B2B,,航意300-1000万、医疗5-10万、火车/轮船意外100-150万、汽车意外20-50万。,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ团队加享、航班日期自4.1起,全国航线：国内行李保障,G,,2026/6/25,G*******BD,B2B,,托运行李损失/丢失0.5-5万、行李延误1000元、航意50万。,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ团队加享、航班日期自4.1起,全国航线：境内旅行综合保障,G,,2026/12/25,G*******BE,B2B,,航意200万、高风险运动40万、医疗6万、第三者责任5万等。,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ团队加享、航班日期自4.1起,全国航线：团队升舱加享,G,,20-400,G******U*,B2B,,享受明珠经济舱升舱权益,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ-GP加享、航班日期自4.1起,全国航线：100里程旅行套餐,W/C/Y/P/B/M/H/K/U/A/L/Q/E/V/Z/T,30,7,*YDLAAMA,GP/BSP,KMG319/KMG279/CTU152/SZX146,100里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ-GP加享、航班日期自4.1起,全国航线：500里程旅行套餐,W/C/Y/P/B/M/H/K/U/A/L/Q/E/V/Z/T,100,25,*YDLAAMG,GP/BSP,KMG319/KMG279/CTU152/SZX146,500里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ-GP加享、航班日期自4.1起,全国航线：800里程旅行套餐,W/C/Y/P/B/M/H/K/U/A/L/Q/E/V/Z/T,120,30,*YDLACMD,GP/BSP,KMG319/KMG279/CTU152/SZX146,800里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ-GP加享、航班日期自4.1起,全国航线：1000里程旅行套餐,W/C/Y/P/B/M/H/K/U/A/L/Q/E/V/Z/T,200,50,*YDLAAMC,GP/BSP,KMG319/KMG279/CTU152/SZX146,1000里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ-GP加享、航班日期自4.1起,全国航线：1500里程旅行套餐,W/C/Y/P/B/M/H/K/U/A/L/Q/E/V/Z/T,300,75,*YDLAAMH,GP/BSP,KMG319/KMG279/CTU152/SZX146,1500里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ-GP加享、航班日期自4.1起,全国航线：2000里程旅行套餐,W/C/Y/P/B/M/H/K/U/A/L/Q/E/V/Z/T,400,100,*YDLAAMD,GP/BSP,KMG319/KMG279/CTU152/SZX146,2000里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ-GP加享、航班日期自4.1起,全国航线：300里程+选座权益包,W/C/Y/P/B/M/H/K/U/A/L/Q/E/V/Z/T,130,32,*YDLAAMS,GP/BSP,KMG319/KMG279/CTU152/SZX146,300里程，优先选择前排座位权益,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ-GP加享、航班日期自4.1起,全国航线：300里程+明珠舱升舱,Y/P/B/M/H/K/U,320,80,*YDLAAUC,GP/BSP,KMG319/KMG279/CTU152/SZX146,额外获赠300里程和明珠经济舱升舱权益,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ-GP加享、航班日期自4.1起,全国航线：退改无忧,Y/P/B/M/H/K/U/A/L/Q/E/V/Z/T,160,40,*YDLAARG,GP/BSP,KMG319/KMG279/CTU152/SZX146,"1.客票有效期内，24小时（含）前免费退票手续费1次，加价金额不退；24小时后按正常退改规则计算手续费。
2.客票有效期内，4小时前免变更手续费；4小时后按正常退改规则计算手续费。
3.赠送300万元航空意外身故及伤残保障，保险期间为客票当次航班。",2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ-DK加享、航班日期自4.1起,全国航线：100里程旅行套餐,P/B/M/H/K/U/A/L/Q/E/V/Z/T,,7,*YDHABMA,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,100里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ-DK加享、航班日期自4.1起,全国航线：300里程旅行套餐,P/B/M/H/K/U/A/L/Q/E/V/Z/T,,17,*YDHABMB,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,300里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ-DK加享、航班日期自4.1起,全国航线：500里程旅行套餐,P/B/M/H/K/U/A/L/Q/E/V/Z/T,,25,*YDHABMD,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,500里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ-DK加享、航班日期自4.1起,全国航线：1000里程旅行套餐,P/B/M/H/K/U/A/L/Q/E/V/Z/T,,50,*YDHABME,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,1000里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ-DK加享、航班日期自4.1起,全国航线：1500里程旅行套餐,P/B/M/H/K/U/A/L/Q/E/V/Z/T,,75,*YDHABMF,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,1500里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ-DK加享、航班日期自4.1起,全国航线：2000里程旅行套餐,C/P/B/M/H/K/U/A/L/Q/E/V/Z/T,,100,*YDHABMC,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,2000里程,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ-DK加享、航班日期自4.1起,全国航线：300里程+选座权益包,P/B/M/H/K/U/A/L/Q/E/V/Z/T,,32,*YDKAAMS,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,300里程，优先选择前排座位权益,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ-DK加享、航班日期自4.1起,全国航线：变更旅行套餐,P/B/M/H/K/U/A/L/Q/E/V/Z/T,,37,*YDKABGA,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,在航班预计离站时间前4小时（含）前自愿变更，免收自愿变更费,2026.4.1-2026.12.31,定额+后返,,,,,,,,,,,,,,,
CZ里程/积分加享,明珠舱300里程加享,P/B/M/H/K/U,320,128,*YXHAAUC,GP/BSP,KMG319/KMG279/CTU152/SZX146,BSP B2B,有效,定额+后返,,,,,,,,,,,,,,,
CZ退改加享,金牌退改,C/D/I/P/B/M/H/K/U/A/L/Q,400,,*YXKABRG,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,"1.航班起飞前4小时以外变更，免收变更手续费，正常收取票价差；4小时以内变更，按客票使用规则收取变更手续费。
2.航班起飞前24小时以外退票，免收退票手续费；24小时以内退票，按客票使用规则收取退票手续费。",有效,定额+后返,,,,,,,,,,,,,,,
CZ退改加享,金牌退改,C/D/I/P/B/M/H/K/U/A/L/Q,200,80,*YXKACRG,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,"1.航班起飞前4小时以外变更，免收变更手续费，正常收取票价差；4小时以内变更，按客票使用规则收取变更手续费。
2.航班起飞前24小时以外退票，免收退票手续费；24小时以内退票，按客票使用规则收取退票手续费。
3.客票成行后赠3000里程。",有效,定额+后返,,,,,,,,,,,,,,,
CZ退改加享,退票优惠,P/B/M/H/K/U/A/L/Q,160,65,*YXKAARD,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,航班预计离站时间前72小时（含）前，仅收取“退票优惠”产品加价部分作为优惠定额退票费。,有效,定额+后返,,,,,,,,,,,,,,,
CZ指定航线里程旅行套餐,100里程,B/M/H/U/A/L/E/V/Z/T/N,100,40,,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,全渠道,有效,定额+后返,,,,,,,,,,,,,,,
CZ指定航线里程旅行套餐,500里程,B/M/H/U/A/L/E/V/Z/T/N,,90,,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,全渠道,有效,定额+后返,,,,,,,,,,,,,,,
CZ权益包加享,行李加享,P/B/M/H/K/U/A/L/Q/E/V/Z,80,30,*YXLAABD,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,5KG额外行李额度,有效,定额+后返,,,,,,,,,,,,,,,
CZ权益包加享,全国航线：里程行李加享,P/B/M/H/K/U/A/L/Q/E/V/Z,150,60,*YXLAAMA,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,500里程+5KG额外行李额,有效,定额+后返,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
